questionnaire_url,usajobs_control_number,position_title,announcement_number,hiring_agency,occupation_series,occupation_name,position_open_date,position_close_date,position_location,grade_code,position_schedule,service_type,extracted_from_file,extracted_date
https://apply.usastaffing.gov/ViewQuestionnaire/12773633,842239100,Psychologist-(BHIP),CBSU-12773633-25-EH,Department of Veterans Affairs,180,Psychology,2025-08-01 08:41:30.413,2025-08-12T23:59:59.9970,"Oklahoma City, Oklahoma",GS-11/13,"Monday-Friday, 8:00am-4:30pm, Irregular tours and/or Saturday work may be required.",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.569808
https://apply.usastaffing.gov/ViewQuestionnaire/12773636,842239800,Psychologist- (BHIP),CBSU-12773636-25-EH,Department of Veterans Affairs,180,Psychology,2025-08-01 08:47:06.860,2025-08-11T23:59:59.9970,"Oklahoma City, Oklahoma",GS-11/13,"Monday-Friday, 8:00am-4:30pm, Irregular tours and/or Saturday work may be required.",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.570262
https://apply.usastaffing.gov/ViewQuestionnaire/12774029,842242400,Staff Psychologist,CBSY-12774029-25-AMB,Department of Veterans Affairs,180,Psychology,2025-08-01 09:00:44.003,2025-09-19T23:59:59.9970,"Sioux Falls, South Dakota",GS-11/13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.570693
https://apply.usastaffing.gov/ViewQuestionnaire/12774030,842244300,Staff Psychologist,CBSY-12774030-25-AMB,Department of Veterans Affairs,180,Psychology,2025-08-01 09:08:03.677,2025-09-19T23:59:59.9970,"Sioux Falls, South Dakota",GS-11/13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.571135
https://apply.usastaffing.gov/ViewQuestionnaire/12771479,842265400,Staff Psychologist (Family Services Coordinator),CBSR-12771479-25-CP,Department of Veterans Affairs,180,Psychology,2025-08-01 10:53:27.793,2025-08-11T23:59:59.9970,"Columbus, Ohio",GS-11/13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.571599
https://apply.usastaffing.gov/ViewQuestionnaire/12764079,842230100,Marriage and Family Therapist (Program Manager),CBZY-12764079-25-BJL,Department of Veterans Affairs,182,Marriage and Family Therapist,2025-08-01 07:31:07.287,2025-08-13T23:59:59.9970,"Silver Spring, Maryland",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.571988
https://apply.usastaffing.gov/ViewQuestionnaire/12776657,842253900,Marriage and Family Therapist (Program Coordinator) - Family Services Coordinator,CBSR-12776657-25-CP,Department of Veterans Affairs,182,Marriage and Family Therapist,2025-08-01 09:56:19.877,2025-08-11T23:59:59.9970,"Columbus, Ohio",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.572400
https://apply.usastaffing.gov/ViewQuestionnaire/12773981,842233200,Licensed Professional Mental Health Counselor Program Manager - Suicide Prevention,CBSU-12773981-25-AGL,Department of Veterans Affairs,183,Licensed Professional Mental Health Counselor,2025-08-01 07:51:58.327,2025-09-30T23:59:59.9970,"Grand Junction, Colorado",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.572813
https://apply.usastaffing.gov/ViewQuestionnaire/12773982,842233300,Licensed Professional Mental Health Counselor Program Manager - Suicide Prevention,CBSU-12773982-25-AGL,Department of Veterans Affairs,183,Licensed Professional Mental Health Counselor,2025-08-01 07:52:35.450,2025-09-30T23:59:59.9970,"Grand Junction, Colorado",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.573232
https://apply.usastaffing.gov/ViewQuestionnaire/12773634,842239300,Senior Licensed Professional Mental Health Counselor- (BHIP),CBSU-12773634-25-EH,Department of Veterans Affairs,183,Licensed Professional Mental Health Counselor,2025-08-01 08:43:02.050,2025-08-11T23:59:59.9970,"Oklahoma City, Oklahoma",GS-12,"Monday-Friday 8:00am-4:30pm, irregular hours and/or Saturday work may be required",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.573630
https://apply.usastaffing.gov/ViewQuestionnaire/12773637,842240000,Senior Licensed Professional Mental Health Counselor- (BHIP),CBSU-12773637-25-EH,Department of Veterans Affairs,183,Licensed Professional Mental Health Counselor,2025-08-01 08:48:18.620,2025-08-11T23:59:59.9970,"Oklahoma City, Oklahoma",GS-12,"Monday-Friday 8:00am-4:30pm, irregular hours and/or Saturday work may be required",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.574012
https://apply.usastaffing.gov/ViewQuestionnaire/12773976,842290600,Senior Licensed Professional Mental Health Counselor (LPMHC),CBTG-12773976-25-JH,Department of Veterans Affairs,183,Licensed Professional Mental Health Counselor,2025-08-01 12:39:44.607,2025-08-11T23:59:59.9970,"Louisville, Kentucky",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.574439
https://apply.usastaffing.gov/ViewQuestionnaire/12771687,842230000,Social Worker Chief,CBSS-12771687-25-JDW,Department of Veterans Affairs,185,Social Work,2025-08-01 07:27:53.843,2025-08-11T23:59:59.9970,"Leavenworth, Kansas",GS-14,"Monday - Friday, 8:00 a.m. to 4:30 p.m.",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.574856
https://apply.usastaffing.gov/ViewQuestionnaire/12764081,842230600,Supervisory Social Worker,CBZY-12764081-25-BJL,Department of Veterans Affairs,185,Social Work,2025-08-01 07:34:23.127,2025-08-13T23:59:59.9970,"Silver Spring, Maryland",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.575254
https://apply.usastaffing.gov/ViewQuestionnaire/12773983,842233500,Supervisory Social Worker- Suicide Prevention,CBSU-12773983-25-AGL,Department of Veterans Affairs,185,Social Work,2025-08-01 07:53:20.400,2025-09-30T23:59:59.9970,"Grand Junction, Colorado",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.575649
https://apply.usastaffing.gov/ViewQuestionnaire/12773984,842233800,Supervisory Social Worker- Suicide Prevention,CBSU-12773984-25-AGL,Department of Veterans Affairs,185,Social Work,2025-08-01 07:53:55.443,2025-09-30T23:59:59.9970,"Grand Junction, Colorado",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.576039
https://apply.usastaffing.gov/ViewQuestionnaire/12773635,842239500,Senior Social Worker- (BHIP),CBSU-12773635-25-EH,Department of Veterans Affairs,185,Social Work,2025-08-01 08:44:08.317,2025-08-11T23:59:59.9970,"Oklahoma City, Oklahoma",GS-12,"Monday-Friday 8:00am-4:30pm, irregular hours and/or Saturday work may be required",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.576464
https://apply.usastaffing.gov/ViewQuestionnaire/12773638,842240400,Senior Social Worker- (BHIP),CBSU-12773638-25-EH,Department of Veterans Affairs,185,Social Work,2025-08-01 08:50:30.060,2025-08-11T23:59:59.9970,"Oklahoma City, Oklahoma",GS-12,"Monday-Friday 8:00am-4:30pm, irregular hours and/or Saturday work may be required",Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.577274
https://apply.usastaffing.gov/ViewQuestionnaire/12771701,842241400,Social Worker - Substance Use Disorder (SUD),CBTA-12771701-25-MB,Department of Veterans Affairs,185,Social Work,2025-08-01 08:55:21.937,2025-08-11T23:59:59.9970,"Kernersville, North Carolina",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.577709
https://apply.usastaffing.gov/ViewQuestionnaire/12771704,842242300,Social Worker,CBTA-12771704-25-MB,Department of Veterans Affairs,185,Social Work,2025-08-01 09:00:18.897,2025-08-11T23:59:59.9970,"Charlotte, North Carolina",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.578159
https://apply.usastaffing.gov/ViewQuestionnaire/12771708,842242800,Social Worker - Mental Health Intensive Case Management (MHICM) Program,CBTA-12771708-25-MB,Department of Veterans Affairs,185,Social Work,2025-08-01 09:02:23.827,2025-08-11T23:59:59.9970,"Charlotte, North Carolina",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.578599
https://apply.usastaffing.gov/ViewQuestionnaire/12776042,842254600,Senior Social Worker (Family Services Coordinator),CBSR-12776042-25-CP,Department of Veterans Affairs,185,Social Work,2025-08-01 10:02:06.677,2025-08-11T23:59:59.9970,"Columbus, Ohio",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.578999
https://apply.usastaffing.gov/ViewQuestionnaire/12774049,842274400,Senior Social Worker - Community Care,CBTC-12774049-25-DIQ,Department of Veterans Affairs,185,Social Work,2025-08-01 11:31:03.637,2025-08-11T23:59:59.9970,"Bay Pines, Florida",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.579400
https://apply.usastaffing.gov/ViewQuestionnaire/12774690,842286800,Social Worker,CBSV-12774690-25-SRL,Department of Veterans Affairs,185,Social Work,2025-08-01 12:20:14.253,2025-08-11T23:59:59.9970,"Boise, Idaho",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.579814
https://apply.usastaffing.gov/ViewQuestionnaire/12774689,842287000,Social Worker,CBSV-12774689-25-SRL,Department of Veterans Affairs,185,Social Work,2025-08-01 12:20:23.310,2025-08-11T23:59:59.9970,"Boise, Idaho",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.580243
https://apply.usastaffing.gov/ViewQuestionnaire/12770819,842290100,Social Worker (Substance Use Clinic),CBTD-12770819-25-CD,Department of Veterans Affairs,185,Social Work,2025-08-01 12:36:29.763,2025-08-15T23:59:59.9970,"Manchester, New Hampshire",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.580676
https://apply.usastaffing.gov/ViewQuestionnaire/12770818,842290700,Social Worker (Substance Use Clinic),CBTD-12770818-25-CD,Department of Veterans Affairs,185,Social Work,2025-08-01 12:39:57.033,2025-08-15T23:59:59.9970,"Manchester, New Hampshire",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.581098
https://apply.usastaffing.gov/ViewQuestionnaire/12773977,842290800,Senior Social Worker,CBTG-12773977-25-JH,Department of Veterans Affairs,185,Social Work,2025-08-01 12:40:41.590,2025-08-11T23:59:59.9970,"Louisville, Kentucky",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.581548
https://apply.usastaffing.gov/ViewQuestionnaire/12772815,842297700,Social Worker (Program Coordin,CAZP-12772815-25-NP,Department of Veterans Affairs,185,Social Work,2025-08-01 13:16:23.270,2025-08-09T23:59:59.9970,"Middleton, Wisconsin",GS-13,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.581984
https://apply.usastaffing.gov/ViewQuestionnaire/12774114,842248900,Fitness Facility Coordinator,25-12774114,Department of the Navy,188,Recreation Specialist,2025-07-31 00:00:00.000,2025-08-07T23:59:59.9970,"Virginia Beach, Virginia",NF-4,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.582374
https://apply.usastaffing.gov/ViewQuestionnaire/12774499,842249200,Supervisory Recreation Specialist,25-12774499,Department of the Navy,188,Recreation Specialist,2025-08-01 09:34:15.013,2025-08-08T23:59:59.9970,"Virginia Beach, Virginia",NF-4,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.582685
https://apply.usastaffing.gov/ViewQuestionnaire/12776635,842251300,Recreation Assistant NF-02,O4NAFHU-25-12776635,Department of the Army,189,Recreation Aid And Assistant,2025-08-01 09:43:45.700,2025-08-15T23:59:59.9970,"Miesau, Germany",NF-2,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.583254
https://apply.usastaffing.gov/ViewQuestionnaire/12776792,842269500,RECREATION AID,25-9UFSW940446,Department of the Air Force,189,Recreation Aid And Assistant,2025-08-01 11:11:48.223,2025-08-08T23:59:59.9970,"Gordonville, Texas",NF-1,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.583850
https://apply.usastaffing.gov/ViewQuestionnaire/12776840,842294100,RECREATION AID (LIFEGUARD),25-8JFSWO940701,Department of the Air Force,189,Recreation Aid And Assistant,2025-08-01 12:51:45.690,2025-08-15T23:59:59.9970,"Hurlburt Field, Florida",NF-1,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.584488
https://apply.usastaffing.gov/ViewQuestionnaire/12773407,842241600,SUPERVISORY HUMAN RESOURCES SPECIALIST,USTC-25-12773407-MP,Department of the Air Force,201,Human Resources Management,2025-08-01 08:56:52.457,2025-08-10T23:59:59.9970,"Scott AFB, Illinois",GS-15,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.584820
https://apply.usastaffing.gov/ViewQuestionnaire/12774827,842268000,SUPERVISORY HUMAN RESOURCES SPECIALIST,DTRA-25-12774827-MP,Department of Defense,201,Human Resources Management,2025-08-01 11:08:08.347,2025-08-15T23:59:59.9970,"Fort Belvoir, Virginia",GS-15,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.585184
https://apply.usastaffing.gov/ViewQuestionnaire/12776574,842271900,HUMAN RESOURCES SPECIALIST (INFORMATION SYSTEMS),DLAJ1ES-25-12776574-MP,Department of Defense,201,Human Resources Management,2025-08-01 11:23:49.643,2025-08-11T23:59:59.9970,"Whitehall, Ohio",GS-13,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.585521
https://apply.usastaffing.gov/ViewQuestionnaire/12776798,842289200,HR SPEC (MILITARY) (Title 32) (Permanent),VA-12776798-AR-25-279,Department of the Army,201,Human Resources Management,2025-08-01 12:31:39.367,2025-08-15T23:59:59.9970,"Richmond, Virginia",GS-9,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.585797
https://apply.usastaffing.gov/ViewQuestionnaire/12774963,842232200,SCO MANAGEMENT TRAINING COORDINATOR,DSCA-25-12774963-MP,Department of Defense,301,Miscellaneous Administration And Program,2025-08-01 07:46:54.200,2025-08-06T23:59:59.9970,"Arlington, Virginia",GS-11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.586162
https://apply.usastaffing.gov/ViewQuestionnaire/12776591,842236000,PROGRAM OPERATIONS SPECIALIST,7Q-DCIPS-12776591-870834-JB,Department of the Air Force,301,Miscellaneous Administration And Program,2025-08-01 08:13:20.213,2025-08-07T23:59:59.9970,"McConnell AFB, Kansas",GG-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.586563
https://apply.usastaffing.gov/ViewQuestionnaire/12776665,842250300,WING REFUELING DOCUMENT CONTROL OFFICER,4U-AFPC-12776665-898746-AEA,Department of the Air Force,301,Miscellaneous Administration And Program,2025-08-01 09:39:33.197,2025-08-08T23:59:59.9970,"Charleston AFB, South Carolina",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.586959
https://apply.usastaffing.gov/ViewQuestionnaire/12770013,842264500,Project Manager - National Wildlfire Coordinating Group (NWCG) Writer/Editor,FAMP-25-12770013-RS,Department of the Interior,301,Miscellaneous Administration And Program,2025-08-01 10:53:47.210,2025-08-14T23:59:59.9970,"Boise, Idaho",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.587626
https://apply.usastaffing.gov/ViewQuestionnaire/12776645,842279100,Master Planner,DLADSN-25-12776645-MP,Department of Defense,301,Miscellaneous Administration And Program,2025-08-01 11:46:07.853,2025-08-11T23:59:59.9970,"New Cumberland Defense Logistics Center, Pennsylvania",GS-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.587968
https://apply.usastaffing.gov/ViewQuestionnaire/12776549,842282100,CBRN OPERATIONS SPECIALIST,ST-12776549-25-DH,Department of Defense,301,Miscellaneous Administration And Program,2025-08-01 11:55:57.087,2025-08-06T23:59:59.9970,"Alexandria, Virginia",GS-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.588397
https://apply.usastaffing.gov/ViewQuestionnaire/12774553,842283100,SUPERVISORY OPERATIONS AND PLANS SPECIALIST,9G-AFPC-12774553-932917-KR,Department of the Air Force,301,Miscellaneous Administration And Program,2025-08-01 11:59:49.577,2025-08-08T23:59:59.9970,"Mildenhall, United Kingdom",GS-14,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.588781
https://apply.usastaffing.gov/ViewQuestionnaire/12776160,842290500,MEDICAL ADMINISTRATIVE OFFICER (TITLE 32),MO-12776160-AF-25-070,Department of the Air Force,301,Miscellaneous Administration And Program,2025-08-01 12:37:20.987,2025-08-27T23:59:59.9970,"Jefferson Barracks, Missouri",GS-12,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.589071
https://apply.usastaffing.gov/ViewQuestionnaire/12773117,842296800,COMMAND POST SPECIALIST,8I-ARTE-12773117-923052-JM,Department of the Air Force,301,Miscellaneous Administration And Program,2025-08-01 13:10:13.177,2025-08-07T23:59:59.9970,"Crestview, Florida",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.589523
https://apply.usastaffing.gov/ViewQuestionnaire/12769619,842305700,MILITARY FUNERAL HONOR PROGRAM COORDINATOR T32,AZ-12769619-SW-25-085T,Department of the Army,301,Miscellaneous Administration And Program,2025-08-01 13:53:21.907,2025-08-21T23:59:59.9970,"Phoenix, Arizona",GS-9,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.589901
https://apply.usastaffing.gov/ViewQuestionnaire/12776255,842225400,Hotel Customer Service Agent NF-02,O4NAFJN-25-12776255,Department of the Army,303,Miscellaneous Clerk And Assistant,2025-08-01 00:00:00.000,2025-08-13T23:59:59.9970,"Vicenza, Italy",NF-2,FLEX-00 with no guaranteed hours,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.590216
https://apply.usastaffing.gov/ViewQuestionnaire/12768085,842226800,Field Supervisor,FLD-2025-0003-FSLA-DE,Department of Commerce,303,Miscellaneous Clerk And Assistant,2025-07-31 00:00:00.000,2025-09-30T23:59:59.9970,"Colusa County, California",GG-6,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.590630
https://jobs.monstergovt.com/aoc/ros/rosDashboard.hms?O=1749&J=148107,842243500,Retail Coordinator,CVC-2025-339,Legislative Branch,303,Miscellaneous Clerk And Assistant,2025-08-01 09:06:57.723,2025-08-18T23:59:59.9970,"Washington, District of Columbia",GS-08,This is an Excepted Service position and does not require or confer Civil Service Competitive Status,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.591043
https://apply.usastaffing.gov/ViewQuestionnaire/12774483,842246400,Administrative Support Assistant (CYS) (Developmental) NF-02/03,C2SCNAFCY-25-12774483,Department of the Army,303,Miscellaneous Clerk And Assistant,2025-08-01 09:17:55.460,2025-08-13T23:59:59.9970,"Grafenwohr, Germany",NF-2/3,20 Hours,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.591408
https://apply.usastaffing.gov/ViewQuestionnaire/12776650,842262400,Operations Clerk (Bowling Center),259VFSW929039,Department of the Air Force,303,Miscellaneous Clerk And Assistant,2025-08-01 10:40:49.783,2025-08-15T23:59:59.9970,"Tinker AFB, Oklahoma",NF-2,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.592308
https://apply.usastaffing.gov/ViewQuestionnaire/12776779,842270200,Contingency Quarters Guest Services Representative- (ASAB),25-5WFSR977592,Department of the Air Force,303,Miscellaneous Clerk And Assistant,2025-08-01 11:17:08.653,2025-08-15T23:59:59.9970,"Saudi Arabia, Saudi Arabia",NF-2,Few,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.592618
https://apply.usastaffing.gov/ViewQuestionnaire/12776424,842282000,Clerk NF-02,O1NAFDQ-25-12776424,Department of the Army,303,Miscellaneous Clerk And Assistant,2025-08-01 11:54:58.353,2025-09-01T23:59:59.9970,"Fort Hamilton, New York",NF-2,Rotating Schedule to include weekdays and weekends.,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.592898
https://apply.usastaffing.gov/ViewQuestionnaire/12774896,842277400,Secretary (Office Automation),DECA-25-12774896-DH,Department of Defense,318,Secretary,2025-08-01 11:51:02.833,2025-08-11T23:59:59.9970,"San Diego, California",GS-6,"Irregular schedule including days, nights, weekends, and holidays.",Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.593254
https://apply.usastaffing.gov/ViewQuestionnaire/12776164,842253400,SUPPORT SERVICES SPECIALIST,9P-AFPC-12776164-917299-FCM,Department of the Air Force,342,Support Services Administration,2025-08-01 09:54:24.150,2025-08-07T23:59:59.9970,"Mechanicsburg, Pennsylvania",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.593700
https://apply.usastaffing.gov/ViewQuestionnaire/12776302,842271600,PROGRAM ANALYST,7Q-ARTE-12755342-876976-TS,Department of the Air Force,343,Management And Program Analysis,2025-08-01 11:22:19.270,2025-08-07T23:59:59.9970,"McConnell AFB, Kansas",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.594139
https://apply.usastaffing.gov/ViewQuestionnaire/12774749,842274700,MANAGEMENT ANALYST,8X-DCIPS-12774749-929802-SG,Department of the Air Force,343,Management And Program Analysis,2025-08-01 11:33:04.733,2025-08-14T23:59:59.9970,"Fort Meade, Maryland",GG-14,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.594526
https://apply.usastaffing.gov/ViewQuestionnaire/12776691,842276300,MANAGEMENT ANALYST,USTC-25-12776691-MP,Department of the Air Force,343,Management And Program Analysis,2025-08-01 11:38:56.807,2025-08-10T23:59:59.9970,"Scott AFB, Illinois",GS-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.594859
https://jobs.monstergovt.com/aoc/ros/rosDashboard.hms?O=1749&J=148105,842294400,Management and Program Analyst (Project Management Information Systems Administrator),OCE-2025-356,Legislative Branch,343,Management And Program Analysis,2025-08-01 12:53:13.717,2025-08-18T23:59:59.9970,"Washington, District of Columbia",GS-09/11,This is an Excepted Service position and does not require or confer Civil Service Competitive Status,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.595316
https://apply.usastaffing.gov/ViewQuestionnaire/12776832,842296900,Program Analyst,DLAJ6-25-12776832-MP,Department of Defense,343,Management And Program Analysis,2025-08-01 13:10:42.220,2025-08-10T23:59:59.9970,"Battle Creek, Michigan",GS-14,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.595723
https://apply.usastaffing.gov/ViewQuestionnaire/12776675,842254100,LOGISTICS MANAGEMENT SPECIALIST,6R-ARTE-12776675-906832-JR,Department of the Air Force,346,Logistics Management,2025-08-01 09:58:18.900,2025-08-07T23:59:59.9970,"Dobbins AFB, Georgia",GS-11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.596188
https://apply.usastaffing.gov/ViewQuestionnaire/12776349,842267900,Logistics Management Specialist,MCGT259194716349R,Department of the Army,346,Logistics Management,2025-08-01 11:08:48.717,2025-08-14T23:59:59.9970,"Redstone Arsenal, Alabama",GS-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.596541
https://apply.usastaffing.gov/ViewQuestionnaire/12776350,842268100,Logistics Management Specialist,MCGT259194719174R,Department of the Army,346,Logistics Management,2025-08-01 11:08:08.330,2025-08-14T23:59:59.9970,"Redstone Arsenal, Alabama",GS-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.596888
https://apply.usastaffing.gov/ViewQuestionnaire/12776770,842272100,Plant Pathologist (Mycology),DE-12776770-25-PQ,Department of Agriculture,434,Plant Pathology,2025-08-01 12:30:03.943,2025-08-07T23:59:59.9970,"South San Francisco, California",GS-9/11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.597337
https://apply.usastaffing.gov/ViewQuestionnaire/12774347,842255700,Wildland Firefighter (Aviation Manager) - Direct Hire Authority,DHA-25-12774347-CBXH-KP,Department of the Interior,456,Wildland Fire Management,2025-08-01 10:05:27.823,2025-08-25T23:59:59.9970,"Whiteriver, Arizona",GS-11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.597716
https://apply.usastaffing.gov/ViewQuestionnaire/12776209,842257400,Wildland Firefighter (Fuels Management) - Direct Hire Authority,DHA-25-12776209-CBXH-KP,Department of the Interior,456,Wildland Fire Management,2025-08-01 10:14:34.643,2025-08-18T23:59:59.9970,"Whiteriver, Arizona",GS-9,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.598088
https://apply.usastaffing.gov/ViewQuestionnaire/12772650,842262500,Supervisory Wildland Firefighter (Assistant Fire Management Officer),FADHA-25-12772650-BR,Department of the Interior,456,Wildland Fire Management,2025-08-01 10:44:16.810,2025-08-18T23:59:59.9970,"Saint George, Utah",GW-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.598545
https://apply.usastaffing.gov/ViewQuestionnaire/12774459,842289700,Wildland Firefighter (Aviation Specialist) - Direct Hire Authority,FADHA-25-12774459-BCN,Department of the Interior,456,Wildland Fire Management,2025-08-01 12:35:14.647,2025-08-14T23:59:59.9970,"Boise, Idaho",GW-12,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.598931
https://apply.usastaffing.gov/ViewQuestionnaire/12773365,842229300,RESOURCES ANALYST,DECA-25-12773365-MP,Department of Defense,501,Financial Administration And Program,2025-08-01 09:59:59.617,2025-08-08T23:59:59.9970,"Fort Lee, Virginia",GS-13,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.599348
https://jobs.monstergovt.com/bopmp/ros/rosDashboard.hms?O=2&J=177799,842237300,Business Administrator,SER-2025-0180,Department of Justice,501,Financial Administration And Program,2025-08-01 08:25:55.027,2025-08-15T23:59:59.9970,"Maxwell AFB, Alabama",GS-11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.599719
https://apply.usastaffing.gov/ViewQuestionnaire/12776661,842254500,FINANCIAL MANAGEMENT ANALYST,ST-12776661-25-AVL,Department of the Navy,501,Financial Administration And Program,2025-08-01 10:01:29.880,2025-08-05T23:59:59.9970,"Patuxent River, Maryland",GS-11,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.600115
https://apply.usastaffing.gov/ViewQuestionnaire/12776824,842274900,Supervisory Financial Management Specialist,259EFSR875317DUP,Department of the Air Force,501,Financial Administration And Program,2025-08-01 11:33:53.690,2025-09-15T23:59:59.9970,"Eielson AFB, Alaska",NF-4,Guaranteed 35 hours per week.,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.600482
https://apply.usastaffing.gov/ViewQuestionnaire/12776269,842303700,Accountant,DLAJ8-25-12776269-MP,Department of Defense,510,Accounting,2025-08-01 13:45:56.400,2025-08-10T23:59:59.9970,"Whitehall, Ohio",GS-13,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.601240
https://apply.usastaffing.gov/ViewQuestionnaire/12772036,842230400,Supervisory Genetic Counselor,CBTA-12772036-25-NB,Department of Veterans Affairs,601,General Health Science,2025-08-01 07:33:37.953,2025-08-11T23:59:59.9970,"Anywhere in the U.S. (remote job), United States",GS-13,,Excepted,current_jobs_2025.parquet,2025-08-02T09:11:19.601609
https://apply.usastaffing.gov/ViewQuestionnaire/12776776,842277600,Supervisory Physician (OB/GYN),IHS-25-GP-12776776-ESEP/MP,Department of Health and Human Services,602,Medical Officer,2025-08-01 11:42:37.977,2025-08-11T23:59:59.9970,"Pine Ridge, South Dakota",GS-15,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.609025
https://apply.usastaffing.gov/ViewQuestionnaire/12776868,842289300,Supervisory Physician (Clinical Director),IHS-25-GP-12776868-DHA,Department of Health and Human Services,602,Medical Officer,2025-08-01 12:34:09.937,2025-12-31T23:59:59.9970,"Pine Ridge, South Dakota",GS-15,,Competitive,current_jobs_2025.parquet,2025-08-02T09:11:19.609456
